person,personLabel,parentLabel,linkcount
http://www.wikidata.org/entity/Q5726646,Henry Page Woodward,Henry Woodward,3
http://www.wikidata.org/entity/Q16405517,Maret Suits,Gustav Suits,3
http://www.wikidata.org/entity/Q23603371,Gertrude Mary Woodward,Henry Woodward,3
http://www.wikidata.org/entity/Q42305213,Richard Cortambert,Pierre-François Eugène Cortambert,3
http://www.wikidata.org/entity/Q4753818,Anders Horn,Anne Horn,3
http://www.wikidata.org/entity/Q4892997,Bernard Christian Steiner,Lewis Henry Steiner,3
http://www.wikidata.org/entity/Q7944159,Václav Vokolek,Vladimír Vokolek,3
http://www.wikidata.org/entity/Q16899719,Carl Keilhau,Wollert Keilhau,3
http://www.wikidata.org/entity/Q2959715,Charles Louandre,François-César Louandre,3
http://www.wikidata.org/entity/Q6106761,J. Paul Reason,Joseph Henry Reason,3
http://www.wikidata.org/entity/Q51187097,Arend Buchholtz,August Wilhelm Buchholtz,3
http://www.wikidata.org/entity/Q1389080,Grace Norton,Andrews Norton,3
http://www.wikidata.org/entity/Q3172270,Johann Gottfried Schweighäuser,Johann Schweighäuser,3
http://www.wikidata.org/entity/Q5544953,George Sumner,Charles Sumner,3
http://www.wikidata.org/entity/Q5581965,Evert Julius Bonsdorff,Johan Bonsdorff,3
http://www.wikidata.org/entity/Q5991041,Björn Molin,Anna Molin,3
http://www.wikidata.org/entity/Q11980800,Kitty Wentzel,Frederik Bætzmann,3
http://www.wikidata.org/entity/Q16030606,Edward Hertslet,Lewis Hertslet,3
http://www.wikidata.org/entity/Q17521889,Carlo Frati,Luigi Frati,3
http://www.wikidata.org/entity/Q20089498,Claude de Cambronne,Paul Cottin,3
http://www.wikidata.org/entity/Q2833582,Alexandre Delmer,Alexandre Delmer,3
http://www.wikidata.org/entity/Q4111541,Superman,Lara Lor-Van,3
http://www.wikidata.org/entity/Q1461838,Friedrich Salomon Vögelin,Anton Salomon Vögelin,3
http://www.wikidata.org/entity/Q1747963,Robert Pearsall Smith,John Jay Smith,3
http://www.wikidata.org/entity/Q1895179,Alfred Kossmann,Friedrich Kossmann,3
http://www.wikidata.org/entity/Q14854105,Petrus Abraham Samuel van Limburg Brouwer,Petrus van Limburg Brouwer,3
http://www.wikidata.org/entity/Q20016568,José María de Sancha,Tomás de Sancha y González de Castro,3
http://www.wikidata.org/entity/Q53577577,Johann Sigismund Mörl,Gustav Philipp Mörl,3
http://www.wikidata.org/entity/Q41610365,Enrique Planchart Rotundo,Enrique Planchart Loynaz,3
http://www.wikidata.org/entity/Q43292469,Henri-Florent Delmotte,Philibert-Ignace-Marie-Joseph Delmotte,3
http://www.wikidata.org/entity/Q12093673,Margarita Orestovna Gabel,Augustine Stanislavovna Gabel,3
http://www.wikidata.org/entity/Q87349532,Valeria Orestovna Gabel-Gasselbrink,Augustine Stanislavovna Gabel,3
http://www.wikidata.org/entity/Q17381679,Väinö Kivilinna,Oskar Fredrik Borg,3
http://www.wikidata.org/entity/Q16633518,Klaus Törnudd,Allan Törnudd,3
